1	1	6	26	1
2	1	26	2	1
3	2	26	27	1
4	2	27	3	1
5	3	27	28	1
6	3	28	4	1
7	4	28	29	1
8	4	29	5	1
9	5	29	30	1
10	5	30	10	1
11	6	11	31	1
12	6	31	26	1
13	10	30	35	1
14	10	35	15	1
15	11	16	36	1
16	11	36	31	1
17	15	35	40	1
18	15	40	20	1
19	16	21	41	1
20	16	41	36	1
21	20	40	45	1
22	20	45	25	1
23	21	22	46	1
24	21	46	41	1
25	22	23	47	1
26	22	47	46	1
27	23	24	48	1
28	23	48	47	1
29	24	25	49	1
30	24	49	48	1
31	25	45	50	1
32	25	50	49	1
33	26	31	27	1
34	27	31	32	1
35	27	32	28	1
36	28	32	33	1
37	28	33	29	1
38	29	33	34	1
39	29	34	30	1
40	30	34	35	1
41	31	36	32	1
42	32	36	37	1
43	32	37	33	1
44	33	37	38	1
45	33	38	34	1
46	34	38	39	1
47	34	39	35	1
48	35	39	40	1
49	36	41	37	1
50	37	41	42	1
51	37	42	38	1
52	38	42	43	1
53	38	43	39	1
54	39	43	44	1
55	39	44	40	1
56	40	44	45	1
57	41	46	42	1
58	42	46	47	1
59	42	47	43	1
60	43	47	48	1
61	43	48	44	1
62	44	48	49	1
63	44	49	45	1
64	45	49	50	1
1	1	6	26	2
2	1	26	2	2
3	2	26	27	2
4	2	27	3	2
5	3	27	28	2
6	3	28	4	2
7	4	28	29	2
8	4	29	5	2
9	5	29	30	2
10	5	30	10	2
11	6	11	31	2
12	6	31	26	2
13	10	30	35	2
14	10	35	15	2
15	11	16	36	2
16	11	36	31	2
17	15	35	40	2
18	15	40	20	2
19	16	21	41	2
20	16	41	36	2
21	20	40	45	2
22	20	45	25	2
23	21	22	46	2
24	21	46	41	2
25	22	23	47	2
26	22	47	46	2
27	23	24	48	2
28	23	48	47	2
29	24	25	49	2
30	24	49	48	2
31	25	45	50	2
32	25	50	49	2
33	26	31	51	2
34	26	51	27	2
35	27	51	52	2
36	27	52	28	2
37	28	52	53	2
38	28	53	29	2
39	29	53	54	2
40	29	54	30	2
41	30	54	55	2
42	30	55	35	2
43	31	36	56	2
44	31	56	51	2
45	35	55	60	2
46	35	60	40	2
47	36	41	61	2
48	36	61	56	2
49	40	60	65	2
50	40	65	45	2
51	41	46	66	2
52	41	66	61	2
53	45	65	70	2
54	45	70	50	2
55	46	47	71	2
56	46	71	66	2
57	47	48	72	2
58	47	72	71	2
59	48	49	73	2
60	48	73	72	2
61	49	50	74	2
62	49	74	73	2
63	50	70	75	2
64	50	75	74	2
65	51	56	52	2
66	52	56	57	2
67	52	57	53	2
68	53	57	58	2
69	53	58	54	2
70	54	58	59	2
71	54	59	55	2
72	55	59	60	2
73	56	61	57	2
74	57	61	62	2
75	57	62	58	2
76	58	62	63	2
77	58	63	59	2
78	59	63	64	2
79	59	64	60	2
80	60	64	65	2
81	61	66	62	2
82	62	66	67	2
83	62	67	63	2
84	63	67	68	2
85	63	68	64	2
86	64	68	69	2
87	64	69	65	2
88	65	69	70	2
89	66	71	67	2
90	67	71	72	2
91	67	72	68	2
92	68	72	73	2
93	68	73	69	2
94	69	73	74	2
95	69	74	70	2
96	70	74	75	2
1	1	6	26	3
2	1	26	2	3
3	2	26	27	3
4	2	27	3	3
5	3	27	28	3
6	3	28	4	3
7	4	28	29	3
8	4	29	5	3
9	5	29	30	3
10	5	30	10	3
11	6	11	31	3
12	6	31	26	3
13	10	30	35	3
14	10	35	15	3
15	11	16	36	3
16	11	36	31	3
17	15	35	40	3
18	15	40	20	3
19	16	21	41	3
20	16	41	36	3
21	20	40	45	3
22	20	45	25	3
23	21	22	46	3
24	21	46	41	3
25	22	23	47	3
26	22	47	46	3
27	23	24	48	3
28	23	48	47	3
29	24	25	49	3
30	24	49	48	3
31	25	45	50	3
32	25	50	49	3
33	26	31	51	3
34	26	51	27	3
35	27	51	52	3
36	27	52	28	3
37	28	52	53	3
38	28	53	29	3
39	29	53	54	3
40	29	54	30	3
41	30	54	55	3
42	30	55	35	3
43	31	36	56	3
44	31	56	51	3
45	35	55	60	3
46	35	60	40	3
47	36	41	61	3
48	36	61	56	3
49	40	60	65	3
50	40	65	45	3
51	41	46	66	3
52	41	66	61	3
53	45	65	70	3
54	45	70	50	3
55	46	47	71	3
56	46	71	66	3
57	47	48	72	3
58	47	72	71	3
59	48	49	73	3
60	48	73	72	3
61	49	50	74	3
62	49	74	73	3
63	50	70	75	3
64	50	75	74	3
65	51	56	76	3
66	51	76	52	3
67	52	76	77	3
68	52	77	53	3
69	53	77	78	3
70	53	78	54	3
71	54	78	79	3
72	54	79	55	3
73	55	79	80	3
74	55	80	60	3
75	56	61	81	3
76	56	81	76	3
77	60	80	85	3
78	60	85	65	3
79	61	66	86	3
80	61	86	81	3
81	65	85	90	3
82	65	90	70	3
83	66	71	91	3
84	66	91	86	3
85	70	90	95	3
86	70	95	75	3
87	71	72	96	3
88	71	96	91	3
89	72	73	97	3
90	72	97	96	3
91	73	74	98	3
92	73	98	97	3
93	74	75	99	3
94	74	99	98	3
95	75	95	100	3
96	75	100	99	3
97	76	81	77	3
98	77	81	82	3
99	77	82	78	3
100	78	82	83	3
101	78	83	79	3
102	79	83	84	3
103	79	84	80	3
104	80	84	85	3
105	81	86	82	3
106	82	86	87	3
107	82	87	83	3
108	83	87	88	3
109	83	88	84	3
110	84	88	89	3
111	84	89	85	3
112	85	89	90	3
113	86	91	87	3
114	87	91	92	3
115	87	92	88	3
116	88	92	93	3
117	88	93	89	3
118	89	93	94	3
119	89	94	90	3
120	90	94	95	3
121	91	96	92	3
122	92	96	97	3
123	92	97	93	3
124	93	97	98	3
125	93	98	94	3
126	94	98	99	3
127	94	99	95	3
128	95	99	100	3
1	1	6	26	4
2	1	26	2	4
3	2	26	27	4
4	2	27	3	4
5	3	27	28	4
6	3	28	4	4
7	4	28	29	4
8	4	29	5	4
9	5	29	30	4
10	5	30	10	4
11	6	11	31	4
12	6	31	26	4
13	10	30	35	4
14	10	35	15	4
15	11	16	36	4
16	11	36	31	4
17	15	35	40	4
18	15	40	20	4
19	16	21	41	4
20	16	41	36	4
21	20	40	45	4
22	20	45	25	4
23	21	22	46	4
24	21	46	41	4
25	22	23	47	4
26	22	47	46	4
27	23	24	48	4
28	23	48	47	4
29	24	25	49	4
30	24	49	48	4
31	25	45	50	4
32	25	50	49	4
33	26	31	51	4
34	26	51	27	4
35	27	51	52	4
36	27	52	28	4
37	28	52	53	4
38	28	53	29	4
39	29	53	54	4
40	29	54	30	4
41	30	54	55	4
42	30	55	35	4
43	31	36	56	4
44	31	56	51	4
45	35	55	60	4
46	35	60	40	4
47	36	41	61	4
48	36	61	56	4
49	40	60	65	4
50	40	65	45	4
51	41	46	66	4
52	41	66	61	4
53	45	65	70	4
54	45	70	50	4
55	46	47	71	4
56	46	71	66	4
57	47	48	72	4
58	47	72	71	4
59	48	49	73	4
60	48	73	72	4
61	49	50	74	4
62	49	74	73	4
63	50	70	75	4
64	50	75	74	4
65	51	56	76	4
66	51	76	52	4
67	52	76	77	4
68	52	77	53	4
69	53	77	78	4
